# trNo, usertype, content, trtype, regdate, tmpNo
'1293', '유저', '1분지나서 땡??? ㅋ', '꽃/케익배달', '2015-08-30 21:15:00', NULL
'2051', '유저', '화분으로 교체는 안되나요?', '꽃/케익배달', '2015-10-06 15:04:00', NULL
'2051', '문비서', '확인 후 말씀드릴께요~ 조금만 기다려주세요 ^^ ', '꽃/케익배달', '2015-10-06 15:17:00', NULL
'2051', '문비서', '원하시는 화분이 있으신가요? ', '꽃/케익배달', '2015-10-06 15:19:00', NULL
'2051', '유저', '스투키로 해주세요', '꽃/케익배달', '2015-10-06 15:23:00', NULL
'2051', '문비서', '이런 스투키 어떠세요? \n', '꽃/케익배달', '2015-10-06 15:24:00', NULL
'2051', '유저', '네~~ 좋습니다~~', '꽃/케익배달', '2015-10-06 15:26:00', NULL
'2051', '유저', '첫번째것으로요~', '꽃/케익배달', '2015-10-06 15:26:00', NULL
'2051', '문비서', '네~ 10월9일에  경기 부천시 원미구 상동 꿈동산 아파트 1907동 1504호로 보내드리면 될까요? ', '꽃/케익배달', '2015-10-06 15:27:00', NULL
'2051', '유저', '주소가 변경되었습니다. 경기 부천시 원미구 상동 사랑마을 청구아파트 1624-1901호 로 보내주세요~', '꽃/케익배달', '2015-10-06 15:28:00', NULL
'2051', '문비서', '네~ 알겠습니다. 변경된 주소로 10월9일에 보내도록 하겠습니다 ^^ 감사합니다!  ', '꽃/케익배달', '2015-10-06 15:29:00', NULL
'2051', '유저', '네~~ 안대표님께 안부전해주세요~', '꽃/케익배달', '2015-10-06 15:30:00', NULL
'2051', '문비서', '네~ 안부전해 드리도록 하겠습니다 ^^ \n편리한 문비서 사용을 위해 자택 주소를 회원정보에 저장해 드릴꺄요? ', '꽃/케익배달', '2015-10-06 15:30:00', NULL
'2051', '유저', '네~~', '꽃/케익배달', '2015-10-06 15:31:00', NULL
'2051', '문비서', '감사합니다~ 편안한 오후 되세요 ^^ ', '꽃/케익배달', '2015-10-06 15:32:00', NULL
'2247', '문비서', '안녕하세요~윤여훈님 ^^\n로앤비의 의뢰를 받은 문비서입니다.\n10월 19일 결혼기념일에 과일바구니와 꽃바구니 중에 어떤걸로 받기 원하시는지요?', '꽃/케익배달', '2015-10-16 17:04:00', NULL
'2248', '유저', '과일바구니요 ', '꽃/케익배달', '2015-10-16 17:18:00', NULL
'2248', '문비서', '네~ 과일바구니로 보내드리겠습니다! 배송 받으실 주소 부탁드릴께요~^^ ', '꽃/케익배달', '2015-10-16 17:19:00', NULL
'2248', '유저', '서울 서초구 반포1동 반포자이 아파트 133동 601호 입니다', '꽃/케익배달', '2015-10-16 17:25:00', NULL
'2248', '문비서', '확인 감사합니다~^^ ', '꽃/케익배달', '2015-10-16 17:25:00', NULL
'2248', '문비서', '주문 완료 잘 되셨습니다. \n배송 예정시간은 8~9시라고 합니다 ^^ \n결혼기념일을 축하드립니다~ ', '꽃/케익배달', '2015-10-16 18:31:00', NULL
'2271', '문비서', '안녕하세요 문비서입니다.<br>요청하신 근조화환 잘 신청하였습니다.<br><br>휴일에는 010-9494-0114로 문자주시면 더빨리 처리가능합니다.<br><br>- 신청내역<br>●주소: 계명대학교 동산의료원 장례식장특실 102호<br>(대구광역시 중구 달성로 56)<br>●고인 : 변경자<br>●상주 : 최성훈 <br><br>리본문구<br>좌측 : (주) PTC Korea 이상태 전무<br>우측 : 삼가 故人의 冥福을 빕니다.<br>위와 같이 신청해드렸습니다.', '꽃/케익배달', '2016-03-06 14:36:00', NULL
'2437', '유저', '안녕하세요 ㅎㅎ', '꽃/케익배달', '2015-10-27 11:15:00', '2437'
'2437', '문비서', '안녕하세요, 병완님~ <br>무엇을 도와드릴까요? ^^', '꽃/케익배달', '2015-10-27 11:16:00', '2437'
'2437', '유저', '메종드라카테고리 근처에 꽃다발 주문하고 픽업할 만한 꽃집 있을까요??', '꽃/케익배달', '2015-10-27 11:16:00', '2437'
'2437', '문비서', '근처에 꽃집 확인 후 안내해드릴께요~~', '꽃/케익배달', '2015-10-27 11:16:00', '2437'
'2437', '유저', '감사합니다 :)', '꽃/케익배달', '2015-10-27 11:16:00', '2437'
'2437', '문비서', '답변이 늦어져 죄송합니다. 병완님~  <br><br>1. 플라워 디자인 <br>전화번호 : 02-3144-7718 / 010-3232-7713<br>영업시간 : 매일 08:00~22:00  <br>주소 : 강남구 도산대로51길 37 <br><br>공식블로그 : http://blog.naver.com/lys336700', '꽃/케익배달', '2015-10-27 12:58:00', '2437'
'2437', '문비서', '2. 블레스유플라워 <br>전화번호 : 02-555-8077&nbsp;<br>영업시간 : 00:00~24:00&nbsp;<br>주소 : 강남구 청담동 96-5&nbsp;<br><br>홈페이지 : www.blessyouflower.com/', '꽃/케익배달', '2015-10-27 12:58:00', '2437'
'2437', '문비서', '두 곳 안내해드렸습니다~', '꽃/케익배달', '2015-10-27 12:59:00', '2437'
'2437', '유저', '두번째 곳에 수요일 7시 20분 픽업으로 주문 좀 해 주시겠어요?? 예산은 5만원 정도입니다.', '꽃/케익배달', '2015-10-27 13:04:00', '2437'
'2437', '문비서', '네 알겠습니다', '꽃/케익배달', '2015-10-27 13:05:00', '2437'
'2437', '유저', '감사합니다 :)', '꽃/케익배달', '2015-10-27 13:06:00', '2437'
'2437', '문비서', '병완님~<br>해당 업체에 문의해 보니 장미나 수국 리시안서스 등으로 5만원 꽃다발은 만들어 드릴 수 있지만<br>저녁 7시 이후 출강을 나가야 해서 7시에 픽업하셔야 한다고 하는데요,<br>괜찮으신지요?', '꽃/케익배달', '2015-10-27 13:30:00', '2437'
'2437', '유저', '제가 7시가 안되서 혹시 다른 곳 찾아 봐 주실 수 있나요?? ㅠ 조금 더 떨어져 있어도 됩니다', '꽃/케익배달', '2015-10-27 13:35:00', '2437'
'2437', '문비서', '첫번째 안내해드린 곳은 마음에 안드시나요?', '꽃/케익배달', '2015-10-27 13:36:00', '2437'
'2437', '유저', '별로 안 예쁜 것 같아서요 ㅠ', '꽃/케익배달', '2015-10-27 13:36:00', '2437'
'2437', '문비서', '아 그러시군요, 다른곳으로 알아보겠습니다!', '꽃/케익배달', '2015-10-27 13:37:00', '2437'
'2437', '유저', '감사합니다 :)', '꽃/케익배달', '2015-10-27 13:37:00', '2437'
'2437', '문비서', '아니면 배달을 해드리는건 어떨까요?', '꽃/케익배달', '2015-10-27 13:37:00', '2437'
'2437', '유저', '받을 상황이 아니라서 제가 7시 10~30분에 받아서 식당으로 가야 할 듯 합니다.', '꽃/케익배달', '2015-10-27 13:38:00', '2437'
'2437', '문비서', '아 그러시군요 ㅠ 알겠습니다~ <br>배달가능한 곳 중에 예쁜 곳이 있어서 여쭤봤습니다~', '꽃/케익배달', '2015-10-27 13:39:00', '2437'
'2437', '유저', '감사합니다!! :)', '꽃/케익배달', '2015-10-27 13:39:00', '2437'
'2437', '문비서', '병완님~<br>다른 한 곳 안내해 드립니다<br><br><올리브가든><br>전화번호: 02-541-5005<br>주소: 강남구 신사동 646-22<br>**5만원 맞춰서 꽃다발 만들어드릴 수 있고, 7시 폐점이라서 옆매장 그레고리에 맡겨 놓을 수 있다고 합니다<br>홈페이지: http://www.iolivegarden.co.kr/', '꽃/케익배달', '2015-10-27 13:46:00', '2437'
'2437', '유저', '네 그럼 결제는 어떻게 하면 될까요??', '꽃/케익배달', '2015-10-27 13:48:00', '2437'
'2437', '문비서', '병완님~<br>계좌이체나 유선상 카드 결제 가능하시다고 합니다', '꽃/케익배달', '2015-10-27 13:49:00', '2437'
'2437', '문비서', '문비서가 도와드릴수도 있고요 ^^', '꽃/케익배달', '2015-10-27 13:49:00', '2437'
'2437', '유저', '네 계좌 이체로 하겠습니다!!', '꽃/케익배달', '2015-10-27 13:50:00', '2437'
'2437', '문비서', '문비서에게 결제하신다는 말씀이시지요?', '꽃/케익배달', '2015-10-27 13:52:00', '2437'
'2437', '문비서', '문비서가 꽃집에 결제하고 꽃집에 잘 전달해놓도록 하겠습니다!', '꽃/케익배달', '2015-10-27 13:52:00', '2437'
'2437', '유저', '네 전 어느쪽이든 괜찮아요 계좌번호 알려주시면 입금할게요!!', '꽃/케익배달', '2015-10-27 13:52:00', '2437'
'2437', '유저', '감사합니다 :)', '꽃/케익배달', '2015-10-27 13:52:00', '2437'
'2437', '문비서', '꽃다발을 장미 위주로 해드릴까요~ 수국위주로 해드릴까요?', '꽃/케익배달', '2015-10-27 13:52:00', '2437'
'2437', '문비서', '국민은행  786101-00-028152 (주)텍스트팩토리<br>신한은행 140-010-927533 (주)텍스트팩토리<br>우리은행 1005-002-832850 (주)텍스트팩토리<br>하나은행 115-910030-48104 (주)텍스트팩토리<br><br>위 계좌번호 중 편한신 곳으로 입금해 주시면 되세요~', '꽃/케익배달', '2015-10-27 13:53:00', '2437'
'2437', '문비서', '위의 스타일을 꽃다발로 만들어 달라고 할까요?', '꽃/케익배달', '2015-10-27 13:54:00', '2437'
'2437', '유저', '홈페이지 들어가면 바로 보이는 것중에 블루밍 꽃다발 프리미엄 스타일로 부탁드려요!!', '꽃/케익배달', '2015-10-27 13:55:00', '2437'
'2437', '문비서', '네 알겠습니다~', '꽃/케익배달', '2015-10-27 13:55:00', '2437'
'2437', '유저', '입금 완료 했어요!!', '꽃/케익배달', '2015-10-27 13:57:00', '2437'
